EIC;00ZEE-00000000-C
Seerianumber;00000000
Periood;2025-08-01 kuni 2025-08-28
Koostamise aeg;2025-08-28
"";;Tarbimine 2-ajatsooni;Tarbimine 4-ajatsooni
Kokku;;637,042;637,042
Päeva tarbimine;;230,807;116,288
Öö tarbimine;;406,235;342,922
Tiputarbimine päeval (Tipp päev);;;114,519
Tiputarbimine puhkajal (Tipp puhkepäev);;;63,313
""
Algusaeg;Päev/öö/tipp päev/tipp puhkepäev;Tarbimine;Tunnikoguse tüüp
25.08.2025 05:30;Öö;0,137;Tegelik
25.08.2025 05:45;Öö;0,138;Tegelik
25.08.2025 06:00;Öö;0,658;Tegelik
25.08.2025 06:15;Öö;0,658;Tegelik
25.08.2025 06:30;Öö;0,658;Tegelik
25.08.2025 06:45;Öö;0,658;Tegelik
25.08.2025 07:00;Päev;0,527;Tegelik
25.08.2025 07:15;Päev;0,527;Tegelik
25.08.2025 07:30;Päev;0,527;Tegelik
25.08.2025 07:45;Päev;0,527;Tegelik
25.08.2025 08:00;Päev;0,163;Tegelik
25.08.2025 08:15;Päev;0,163;Tegelik
25.08.2025 08:30;Päev;0,163;Tegelik
25.08.2025 08:45;Päev;0,162;Tegelik
25.08.2025 09:00;Tipp päev;0,186;Tegelik
25.08.2025 09:15;Tipp päev;0,186;Tegelik
25.08.2025 09:30;Tipp päev;0,186;Tegelik
25.08.2025 09:45;Tipp päev;0,186;Tegelik
25.08.2025 10:00;Tipp päev;0,330;Tegelik
25.08.2025 10:15;Tipp päev;0,330;Tegelik
25.08.2025 10:30;Tipp päev;0,330;Tegelik
25.08.2025 10:45;Tipp päev;0,330;Tegelik
25.08.2025 11:00;Tipp päev;0,328;Tegelik
25.08.2025 11:15;Tipp päev;0,328;Tegelik
25.08.2025 11:30;Tipp päev;0,328;Tegelik
25.08.2025 11:45;Tipp päev;0,327;Tegelik
25.08.2025 12:00;Päev;0,219;Tegelik
25.08.2025 12:15;Päev;0,219;Tegelik
25.08.2025 12:30;Päev;0,219;Tegelik
25.08.2025 12:45;Päev;0,219;Tegelik
25.08.2025 13:00;Päev;0,191;Tegelik
25.08.2025 13:15;Päev;0,191;Tegelik
25.08.2025 13:30;Päev;0,191;Tegelik
25.08.2025 13:45;Päev;0,191;Tegelik
25.08.2025 14:00;Päev;0,558;Tegelik
25.08.2025 14:15;Päev;0,558;Tegelik
25.08.2025 14:30;Päev;0,558;Tegelik
25.08.2025 14:45;Päev;0,558;Tegelik
25.08.2025 15:00;Päev;0,215;Tegelik
25.08.2025 15:15;Päev;0,215;Tegelik
25.08.2025 15:30;Päev;0,215;Tegelik
25.08.2025 15:45;Päev;0,216;Tegelik
25.08.2025 16:00;Tipp päev;0,224;Tegelik
25.08.2025 16:15;Tipp päev;0,224;Tegelik
25.08.2025 16:30;Tipp päev;0,224;Tegelik
25.08.2025 16:45;Tipp päev;0,223;Tegelik
25.08.2025 17:00;Tipp päev;0,309;Tegelik
25.08.2025 17:15;Tipp päev;0,309;Tegelik
25.08.2025 17:30;Tipp päev;0,309;Tegelik
25.08.2025 17:45;Tipp päev;0,309;Tegelik
25.08.2025 18:00;Tipp päev;0,353;Tegelik
25.08.2025 18:15;Tipp päev;0,353;Tegelik
25.08.2025 18:30;Tipp päev;0,353;Tegelik
25.08.2025 18:45;Tipp päev;0,353;Tegelik
25.08.2025 19:00;Tipp päev;0,293;Tegelik
25.08.2025 19:15;Tipp päev;0,293;Tegelik
25.08.2025 19:30;Tipp päev;0,293;Tegelik
25.08.2025 19:45;Tipp päev;0,292;Tegelik
25.08.2025 20:00;Päev;0,269;Tegelik
25.08.2025 20:15;Päev;0,269;Tegelik
25.08.2025 20:30;Päev;0,269;Tegelik
25.08.2025 20:45;Päev;0,270;Tegelik
25.08.2025 21:00;Päev;0,459;Tegelik
25.08.2025 21:15;Päev;0,459;Tegelik
25.08.2025 21:30;Päev;0,459;Tegelik
25.08.2025 21:45;Päev;0,459;Tegelik
25.08.2025 22:00;Öö;0,253;Tegelik
25.08.2025 22:15;Öö;0,253;Tegelik
25.08.2025 22:30;Öö;0,253;Tegelik
25.08.2025 22:45;Öö;0,253;Tegelik
25.08.2025 23:00;Öö;0,222;Tegelik
25.08.2025 23:15;Öö;0,222;Tegelik
25.08.2025 23:30;Öö;0,222;Tegelik
25.08.2025 23:45;Öö;0,220;Tegelik
26.08.2025 00:00;Öö;0,268;Tegelik
26.08.2025 00:15;Öö;0,268;Tegelik
26.08.2025 00:30;Öö;0,268;Tegelik
26.08.2025 00:45;Öö;0,266;Tegelik
26.08.2025 01:00;Öö;0,226;Tegelik
26.08.2025 01:15;Öö;0,226;Tegelik
26.08.2025 01:30;Öö;0,226;Tegelik
26.08.2025 01:45;Öö;0,225;Tegelik
26.08.2025 02:00;Öö;0,225;Tegelik
26.08.2025 02:15;Öö;0,225;Tegelik
26.08.2025 02:30;Öö;0,225;Tegelik
26.08.2025 02:45;Öö;0,224;Tegelik
26.08.2025 03:00;Öö;0,226;Tegelik
26.08.2025 03:15;Öö;0,226;Tegelik
26.08.2025 03:30;Öö;0,226;Tegelik
26.08.2025 03:45;Öö;0,225;Tegelik
26.08.2025 04:00;Öö;0,444;Tegelik
26.08.2025 04:15;Öö;0,444;Tegelik
26.08.2025 04:30;Öö;0,444;Tegelik
26.08.2025 04:45;Öö;0,442;Tegelik
26.08.2025 05:00;Öö;0,185;Tegelik
26.08.2025 05:15;Öö;0,185;Tegelik
26.08.2025 05:30;Öö;0,185;Tegelik
26.08.2025 05:45;Öö;0,185;Tegelik
26.08.2025 06:00;Öö;0,685;Tegelik
26.08.2025 06:15;Öö;0,685;Tegelik
26.08.2025 06:30;Öö;0,685;Tegelik
26.08.2025 06:45;Öö;0,684;Tegelik
26.08.2025 07:00;Päev;0,408;Tegelik
26.08.2025 07:15;Päev;0,408;Tegelik
26.08.2025 07:30;Päev;0,408;Tegelik
26.08.2025 07:45;Päev;0,410;Tegelik
26.08.2025 08:00;Päev;0,248;Tegelik
26.08.2025 08:15;Päev;0,248;Tegelik
26.08.2025 08:30;Päev;0,248;Tegelik
26.08.2025 08:45;Päev;0,249;Tegelik
26.08.2025 09:00;Tipp päev;0,248;Tegelik
26.08.2025 09:15;Tipp päev;0,248;Tegelik
26.08.2025 09:30;Tipp päev;0,248;Tegelik
26.08.2025 09:45;Tipp päev;0,246;Tegelik
26.08.2025 10:00;Tipp päev;0,228;Tegelik
26.08.2025 10:15;Tipp päev;0,228;Tegelik
26.08.2025 10:30;Tipp päev;0,228;Tegelik
26.08.2025 10:45;Tipp päev;0,227;Tegelik
26.08.2025 11:00;Tipp päev;0,244;Tegelik
26.08.2025 11:15;Tipp päev;0,244;Tegelik
26.08.2025 11:30;Tipp päev;0,244;Tegelik
26.08.2025 11:45;Tipp päev;0,245;Tegelik
26.08.2025 12:00;Päev;0,233;Tegelik
26.08.2025 12:15;Päev;0,233;Tegelik
26.08.2025 12:30;Päev;0,233;Tegelik
26.08.2025 12:45;Päev;0,234;Tegelik
26.08.2025 13:00;Päev;0,224;Tegelik
26.08.2025 13:15;Päev;0,224;Tegelik
26.08.2025 13:30;Päev;0,224;Tegelik
26.08.2025 13:45;Päev;0,223;Tegelik
26.08.2025 14:00;Päev;0,326;Tegelik
26.08.2025 14:15;Päev;0,326;Tegelik
26.08.2025 14:30;Päev;0,326;Tegelik
26.08.2025 14:45;Päev;0,326;Tegelik
26.08.2025 15:00;Päev;0,377;Tegelik
26.08.2025 15:15;Päev;0,377;Tegelik
26.08.2025 15:30;Päev;0,377;Tegelik
26.08.2025 15:45;Päev;0,376;Tegelik
26.08.2025 16:00;Tipp päev;0,253;Tegelik
26.08.2025 16:15;Tipp päev;0,253;Tegelik
26.08.2025 16:30;Tipp päev;0,253;Tegelik
26.08.2025 16:45;Tipp päev;0,254;Tegelik
26.08.2025 17:00;Tipp päev;0,513;Tegelik
26.08.2025 17:15;Tipp päev;0,513;Tegelik
26.08.2025 17:30;Tipp päev;0,513;Tegelik
26.08.2025 17:45;Tipp päev;0,514;Tegelik
26.08.2025 18:00;Tipp päev;0,391;Tegelik
26.08.2025 18:15;Tipp päev;0,391;Tegelik
26.08.2025 18:30;Tipp päev;0,391;Tegelik
26.08.2025 18:45;Tipp päev;0,390;Tegelik
26.08.2025 19:00;Tipp päev;0,323;Tegelik
26.08.2025 19:15;Tipp päev;0,323;Tegelik
26.08.2025 19:30;Tipp päev;0,323;Tegelik
26.08.2025 19:45;Tipp päev;0,324;Tegelik
26.08.2025 20:00;Päev;0,257;Tegelik
26.08.2025 20:15;Päev;0,257;Tegelik
26.08.2025 20:30;Päev;0,257;Tegelik
26.08.2025 20:45;Päev;0,257;Tegelik
26.08.2025 21:00;Päev;0,333;Tegelik
26.08.2025 21:15;Päev;0,333;Tegelik
26.08.2025 21:30;Päev;0,333;Tegelik
26.08.2025 21:45;Päev;0,334;Tegelik
26.08.2025 22:00;Öö;0,316;Tegelik
26.08.2025 22:15;Öö;0,316;Tegelik
26.08.2025 22:30;Öö;0,316;Tegelik
26.08.2025 22:45;Öö;0,317;Tegelik
26.08.2025 23:00;Öö;0,232;Tegelik
26.08.2025 23:15;Öö;0,232;Tegelik
26.08.2025 23:30;Öö;0,232;Tegelik
26.08.2025 23:45;Öö;0,234;Tegelik
27.08.2025 00:00;Öö;0,440;Tegelik
27.08.2025 00:15;Öö;0,440;Tegelik
27.08.2025 00:30;Öö;0,440;Tegelik
27.08.2025 00:45;Öö;0,438;Tegelik
27.08.2025 01:00;Öö;0,238;Tegelik
27.08.2025 01:15;Öö;0,238;Tegelik
27.08.2025 01:30;Öö;0,238;Tegelik
27.08.2025 01:45;Öö;0,236;Tegelik
27.08.2025 02:00;Öö;0,346;Tegelik
27.08.2025 02:15;Öö;0,346;Tegelik
27.08.2025 02:30;Öö;0,346;Tegelik
27.08.2025 02:45;Öö;0,347;Tegelik
27.08.2025 03:00;Öö;0,314;Tegelik
27.08.2025 03:15;Öö;0,314;Tegelik
27.08.2025 03:30;Öö;0,314;Tegelik
27.08.2025 03:45;Öö;0,314;Tegelik
27.08.2025 04:00;Öö;0,218;Tegelik
27.08.2025 04:15;Öö;0,218;Tegelik
27.08.2025 04:30;Öö;0,218;Tegelik
27.08.2025 04:45;Öö;0,217;Tegelik
27.08.2025 05:00;Öö;0,179;Tegelik
27.08.2025 05:15;Öö;0,179;Tegelik
27.08.2025 05:30;Öö;0,179;Tegelik
27.08.2025 05:45;Öö;0,180;Tegelik
